CD Rank,Colleges
#1,"Vanavarayar Institute of Agriculture, Pollachi"
#2,"Tamil Nadu Veterinary and Animal Sciences University - [TANUVAS], Chennai"
#3,"RVS Institute of Management studies - [RVSIMS], Coimbatore"
#4,"IIKM - The Corporate B School, Chennai"
#5,"PSG College of Pharmacy - [PSGCP], Coimbatore"
#6,"St. Joseph College Of Engineering, Kanchipuram"
#7,"Saveetha Engineering College - [SEC], Chennai"
BE Internet of Things,N/A
BE Medical Electronics,N/A
#8,"Sri Sairam Engineering College, Chennai"
BE Instrumentation & Control Engineering,N/A
#9,"Fatima College, Madurai"
#10,"Sri Ramakrishna Engineering College - [SREC], Coimbatore"
#1,"CL Baid Metha College of Pharmacy, Chennai"
#2,"Chennai Institute of Technology - [CIT], Chennai"
BE Artificial Intelligence & Machine Learning,N/A
BE Advanced Communication Technology,N/A
BE Mechatronics Engineering,N/A
#3,"Sri Venkateswara College of Engineering - [SVCE], Sriperumbudur"
#4,"Rajalakshmi Engineering College - [REC], Chennai"
#5,"Sri Krishna College of Technology - [SKCT], Coimbatore"
#6,"PSNA College of Engineering and Technology, Dindigul"
#7,"Quaide-E-Millath Government College for Women (Autonomous), Chennai"
#8,"SSN School of Management - [SOM], Chennai"
#9,"MAM BSchool - [MAMBS], Tiruchirappalli"
#10,"Loganatha Narayanasamy Government College, Ponneri"
#1,"Merit Swiss Asian School of Hotel Management, Ooty"
#2,"RVS College of Pharmaceutical Science, Coimbatore"
#3,"Government College of Education For Women, Coimbatore"
#4,"Sakthi Institute of Information and Management Studies - [SIIMS], Pollachi"
#5,"RMK Engineering College - [RMKEC], Thiruvallur"
BE (Lateral) Electrical & Electronics Engineering,N/A
#6,"National Engineering College - [NEC], Thoothukkudi"
#7,"Ramakrishna Mission Vivekananda College, Chennai"
#8,"Muthurangam Government Arts College - [MGAC], Vellore"
#9,"Horticultural College and Research Institute - [HC&RI], Periyakulam"
#10,"Dr. Mahalingam College of Engineering & Technology - [MCET], Pollachi"
#1,"Saveetha School of Engineering - [SSE], Chennai"
#2,"Sri Sairam Institute of Technology - [SSIT], Chennai"
B.Tech Mechanical Engineering,N/A
#3,"Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College, Chennai"
#4,"Easwari Engineering College - [EEC], Chennai"
BE Automobile Engineering,N/A
#5,"Indian Institute of Information Technology Design & Manufacturing - [IIITDM], Chennai"
B.Tech  + M.Tech Computer Science & Engineering,N/A
B.Tech Electronics & Communication  + M.Tech VLSI,N/A
B.Tech Electronics and Communication Engineering + M.Tech Communication System Design,N/A
B.Tech Mechanical- Smart Manufacturing,N/A
B.Tech + M.Tech Artificial Intelligence & Robotics,N/A
#6,"Mcgan's Ooty School of Architecture, Ooty"
#7,"Christian College of Education, Kanyakumari"
#8,"Ranganathan Architecture College, Coimbatore"
#9,"RVS School of Architecture, Coimbatore"
#10,"Dhanalakshmi Srinivasan College of Education, Perambalur"
#1,"SDNB Vaishnav College for Women, Chennai"
#2,"Jaya College of Paramedical Sciences, College of Pharmacy, Thirunanravur"
#3,"Sri Ramakrishna Mission Vidyalaya College of Education - [SRKVCOE], Coimbatore"
#4,"Kapi College of Education [KAPI-COE], Madurai"
#5,"Arulmigu Meenakshi Amman College of Education - [AMACE], Uthiramerur"
#6,"Elizabeth College of Education, Perambalur"
#7,"C.M.S College of Education, Coimbatore"
#8,"Chennais Amirta International Institute of Hotel Management - [CAIIHM], Chennai"
#9,"Sri Ramakrishna Institute of Paramedical Science, College of Pharmacy, Coimbatore"
#10,"Tamil Nadu Teachers Education University - [TNTEU], Chennai"
#1,"Thanthai Hans Roever college of Education, Perambalur"
#2,"Thanthai Roever Institute of Agriculture and Rural Development - [TRIARD], Perambalur"
#3,"Vinayaga College of Education - [VCE], Chennai"
#4,"Central Marine Fisheries Research Institute - [CMFRI], Chennai"
#5,"DMI College of Education, Chennai"
#6,"Alagappa University, Karaikudi"
#7,"SVS School of Architecture, Coimbatore"
#8,"Annai Veilankanni Pharmacy College, Saidapet"
#9,"Avinashilingam Institute For Home Science and Higher Education For Women, Coimbatore"
#10,"St Joseph College of Education , Tirunelveli"
#1,"Stella Matutina College of Education, Chennai"
#2,"Agricultural College and Research Institute - [ACRI], Madurai"
#3,"RVS College of Education, Coimbatore"
#4,"Forest College and Research Institute - [FCRI], Mettupalayam"
#5,"Agricultural College and Research Institute - [ACRI], Thoothukudi"
#6,"Thanthai Hans Roever Teacher Training Institute, Perambalur"
#7,"MGR Institute of Hotel Management and Catering Technology - [MGR IHMCT], Chennai"
#8,"Dr. SNS College of Education, Coimbatore"
#9,"Dr. G.R. Damodaran College of Education - [GRDCE], Coimbatore"
#10,"Dr. N.G.P. College of Education, Coimbatore"
#1,"Bishop Agniswamy College of Education, Kanyakumari"
#2,"Vidhya Sagar Women's College of Education, Kanchipuram"
#3,"SSM College of Arts and Science, Namakkal"
#4,"Bishop Appasamy College of Arts and Science - [BACAS], Coimbatore"
#5,"CSI Bishop Newbigin College of Education, Chennai"
#6,"M.I.E.T. Arts and Science College - [MIET], Tiruchirappalli"
#7,"Indian Institute of Textile Training - [IITT], Tiruppur"
#8,"Bharathiar University - [BU], Coimbatore"
#9,"Vellore Institute of Technology - [VIT] Chennai, Chennai"
B.Tech Computer Science Engineering,N/A
B.Tech Electronics & Communication Engineering,N/A
B.Tech Electrical and Electronics Engineering,N/A
B.Tech Civil Engineering,N/A
#10,"Bharath University - Bharath Institute of Higher Education and Research - [BIHER], Chennai"
#1,"MEASI Academy of Architecture, Chennai"
#2,"Institute of Advanced Study in Education, Chennai"
#3,"Madras Institute of Technology- [MIT], Chennai"
#4,"Academy of Maritime Education and Training University - [AMET], Chennai"
#5,"Meenakshi College for Women, Chennai"
#6,"Panimalar Engineering College, Chennai"
BE Computer Science and Business Systems,N/A
#7,"Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University], Thanjavur"
#8,"Velammal Engineering College - [VEC], Chennai"
#9,"SRM Valliammai Engineering college -[VEC], Kanchipuram"
#10,"Jeppiaar Engineering College, Chennai"
#1,"Karpagam College of Engineering - [KCE], Coimbatore"
B.Tech Computer Science and Technology,N/A
#2,"Paavai Engineering College (Autonomous), Namakkal"
B.Tech Food Technology,N/A
BE Robotics and Automation,N/A
#3,"KCG College of Technology, Chennai"
#4,"Adhiyamaan College of Engineering, Hosur"
#5,"S.A. Engineering College, Chennai"
BE VLSI Design & Technology,N/A
#6,"PSG Institute of Technology and Applied Research - [PSG iTech], Coimbatore"
#7,"Indian Institute of Information Technology - [IIIT], Tiruchirappalli"
#8,"Central Institute of Petrochemicals Engineering & Technology - [CIPET], Chennai"
BE Manufacturing Engineering,N/A
B.Tech Plastic Technology,N/A
#9,"Jerusalem College of Engineering - [JCE], Chennai"
#10,"Mahendra Engineering College, Namakkal"
BE Agricultural Engineering,N/A
#1,"SNS College of Engineering - [SNSCE], Coimbatore"
#2,"Saranathan College of Engineering - [SCE], Tiruchirappalli"
#3,"Sethu Institute of Technology, Kariapatti"
#4,"Trichy Engineering College - [TEC], Tiruchirappalli"
BE Computer Science and Engineering (Artificial Intelligence and Machine),N/A
#5,"Amrita Vishwa Vidyapeetham, Coimbatore"
#6,"Agni College of Technology, Chennai"
#7,"Erode Sengunthar Engineering College, Perundurai"
#8,"Meenakshi Sundararajan Engineering College - [MSEC], Chennai"
#9,"Nandha Engineering College - [NEC], Erode"
#10,"Prathyusha Engineering College - [PEC], Thiruvallur"
#1,"RMD Engineering College, Thiruvallur"
#2,"Sri Eshwar College of Engineering - [SECE], Coimbatore"
BE Computer and Communication Engineering,N/A
#3,"Periyar Maniammai Institute of Science and Technology - [PMIST], Thanjavur"
#4,"St Joseph College of Engineering, Chennai"
#5,"Panimalar Institute of Technology-[PIT], Chennai"
#6,"Muthayammal Engineering College - [MEC], Namakkal"
#7,"Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech], Chennai"
#8,"Excel Engineering College, Namakkal"
BE Fire Technology and Safety Engineering,N/A
#9,"Muthayammal College of Engineering - [MCE], Rasipuram"
#10,"Aalim Muhammed Salegh College of Engineering - [AALIMEC], Chennai"
#1,"Jaya Engineering College - [JEC], Chennai"
#2,"KLN College of Engineering - [KLNCE], Sivaganga"
#3,"Kamaraj College of Engineering and Technology - [KCET], Virudhunagar"
#4,"Sri Sai Ranganathan Engineering College - [SSREC], Coimbatore"
#5,"SKR Engineering College, Chennai"
BE (Information Technology),N/A
#6,"Sri Ramakrishna Institute of Technology - [SRIT], Coimbatore"
#7,"Sri Shakthi Institute of Engineering and Technology - [SIET], Coimbatore"
#8,"VSB Engineering College - [VSBEC], Karur"
#9,"PSR Engineering College, Virudhunagar"
#10,"Velalar College of Engineering and Technology -[VCET], Erode"
#1,"St. Peter's Institute of Higher Education and Research - [SPIHER], Chennai"
#2,"Jeppiaar Institute of Technology - [JIT], Sriperumbudur"
#3,"Anand Institute of Higher Technology - [AIHT], Chennai"
#4,"Apollo Engineering College, Poonamallee"
#5,"Arunai Engineering College - [AEC], Tiruvannamalai"
B.Tech Cyber Security,N/A
#6,"DMI College of Engineering - [DMICE], Chennai"
#7,"Government College of Engineering - [GCE], Salem"
BE Metallurgical Engineering,N/A
#8,"KSR College of Engineering, Namakkal"
#9,"Loyola Institute of Technology - [LIT], Chennai"
#10,"Madha Engineering College, Chennai"
#1,"Rajalakshmi Institute of Technology - [RIT], Chennai"
#2,"SSM College of Engineering - [SSMCE], Namakkal"
B.Tech Textile Technology,N/A
B.Tech Textile Chemistry,N/A
#3,"Sriram Engineering College - [SEC], Thiruvallur"
#4,"Velammal Institute of Technology - [VI-Tech], Thiruvallur"
#5,"Knowledge Institute of Technology - [KIOT], Salem"
#6,"Alagappa College of Technology, Anna University - [ACT], Chennai"
B.Tech Industrial Biotechnology,N/A
B.Tech Petroleum Engineering and Technology,N/A
B.Tech Ceramic Technology,N/A
#7,"PERI Institute of Technology - [PERIT], Chennai"
#8,"Adhiparasakthi College of Engineering Arcot - [APCE], Vellore"
#9,"SRM Institute of Science and Technology Ramapuram Campus, Chennai"
#10,"St.Joseph's Institute of Technology - [SJIT], Chennai"
#1,"Ramco Institute of Technology - [RIT], Rajapalayam"
#2,"Mohamed Sathak Engineering College - [MSEC], Ramanathapuram"
#3,"AVS Engineering College - [AVSEC], Salem"
#4,"Alagappa Chettiar College of Engineering and Technology, Karaikudi"
#5,"Coimbatore Institute of Engineering and Technology - [CIET], Coimbatore"
#6,"Francis Xavier Engineering College, Tirunelveli"
#7,"IFET College of Engineering - [IFET], Villupuram"
#8,"KPR Institute of Engineering & Technology - [KPRIET], Coimbatore"
#9,"Kathir College of Engineering, Coimbatore"
#10,"M. Kumarasamy College of Engineering - [MKCE], Karur"
#1,"Mailam Engineering College, Villupuram"
#2,"Marthandam College of Engineering and Technology - [MACET], Kanyakumari"
#3,"Sengunthar Engineering College, Namakkal"
#4,"Shivani Engineering College - [SEC], Tiruchirappalli"
#5,"Park College of Engineering and Technology - [PCET], Coimbatore"
#6,"Chettinad College of Engineering and Technology - [CCET], Karur"
#7,"Dhanalakshmi Srinivasan Engineering College - [DSEC], Perambalur"
B.Tech Pharmaceutical Technology,N/A
#8,"GKM College of Engineering and Technology - [GKMCET], Chennai"
#9,"Karpagam Institute of Technology, Coimbatore"
#10,"Kongunadu College of Engineering and Technology - [KNCET], Tiruchirappalli"
#1,"Mookambigai College of Engineering, Pudukkottai"
#2,"Ponjesly College of Engineering - [PCE], Nagercoil"
#3,"Sasurie College of Engineering - [SCE], Tiruppur"
#4,"Selvam College of Technology - [SCT], Namakkal"
#5,"Sree Sastha Institute of Engineering and Technology, Chennai"
#6,"Tamilnadu College of Engineering - [TNCE], Coimbatore"
#7,"Thangavelu Engineering College, Chennai"
#8,"Kalaignar karunanidhi Institute of Technology - [KIT], Coimbatore"
#9,"Anna University of Technology, Madurai"
#10,"Anna University of Technology, Tirunelveli"
BE Geo Informatics,N/A
#1,"Vinayaka Missions University - [VMU], Salem"
#2,"Vi Institute of Technology - [VIIT], Kanchipuram"
#3,"K. Ramakrishnan College of Engineering -[KRCE], Tiruchirappalli"
#4,"KGISL  Institute of Technology - [KITE], Coimbatore"
#5,"Indian Institute of Handloom Technology - [IIHT], Salem"
#6,"Indian Institute of Knowledge Management - [IIKM], Chennai"
#7,"Department of Management Studies NIT - [DMSNIT], Tiruchirappalli"
#8,"National Institute of Business Management, Chennai"
#9,"Loyola College Vettavalam, Tiruvannamalai"
#10,"A.V.C College of Engineering - [AVCCE], Nagapattinam"
#1,"Aarupadai Veedu Institute of Technology - [AVIT], Kanchipuram"
#2,"Akshaya College of Engineering and Technology-[ACET], Coimbatore"
#3,"Al  Ameen Engineering College, Erode"
#4,"Arasu Engineering College - [AEC], Kumbakonam"
#5,"Cape Institute of Technology - [CAPE], Tirunelveli"
#6,"Dhanalakshmi College of Engineering - [DCE], Chennai"
#7,"Dhirajlal Gandhi College of Technology, Salem"
#8,"EGS Pillay Engineering College, Nagapattinam"
#9,"Einstein College of Engineering, Tirunelveli"
#10,"Global Institute of Engineering and Technology - [GIT], Vellore"
#1,"Hindusthan Institute of Technology - [HITECH], Coimbatore"
#2,"KLN College of Information Technology - [KLNCIT], Sivaganga"
#3,"M.A.M College of Engineering - [MAMCE], Tiruchirappalli"
#4,"P.B. College of Engineering - [PBCE], Chennai"
#5,"SKP Engineering College, Tiruvannamalai"
#6,"St Xaviers Catholic College of Engineering - [SXCCE], Nagercoil"
#7,"Structural Engineering Research Centre, Chennai"
#8,"Surya Engineering College, Erode"
#9,"Thanthai Periyar Government Institute of Technology - [TPGIT], Vellore"
#10,"M.A.M. College of Engineering and Technology - [MAMCET], Tiruchirappalli"
#1,"Velammal College of Engineering and Technology - [VCET], Madurai"
#2,"Jansons Institute of Technology - [JIT], Coimbatore"
#3,"United Institute of Technology - [UIT], Coimbatore"
#4,"PPG Institute of Technology - [PPGIT], Coimbatore"
#5,"Dr. NGP Institute of Technology, Coimbatore"
#6,"Jawahar Engineering College, Chennai"
#7,"Adhi College of Engineering and Technology - [ACET], Kanchipuram"
#8,"Amrita School of Engineering - [ASE], Coimbatore"
#9,"Anjalai Ammal Mahalingam Engineering College - [AAMEC], Thiruvarur"
#10,"CSI College of Engineering - [CSICE], The Nilgiris"
#1,"EASA College of Engineering and Technology - [ECET], Coimbatore"
#2,"Info Institute of Engineering - [IIE], Coimbatore"
#3,"Institute of Road and Transport Technology - [IRTTECH], Erode"
#4,"Karpaga Vinayaga College of Engineering and Technology - [KVCET], Chennai"
#5,"Prince Shri Venkateshwara Padmavathy Engineering College - [PSVPEC], Chennai"
#6,"SVS College of Engineering - [SVSCE], Coimbatore"
#7,"Syed Ammal Engineering college, Ramanathapuram"
#8,"Gojan School of Business and Technology - [GSBT], Chennai"
BE Mechanical & Automation Engineering,N/A
#9,"PET Engineering College, Tirunelveli"
#10,"JCT College of Engineering and Technology, Coimbatore"
BE Biotechnology,N/A
BE Petrochemical Engineering,N/A
#1,"Dhanalakshmi Srinivasan College of Engineering - [DSCE], Coimbatore"
#2,"Vaigai College of Engineering- [VCE], Madurai"
#3,"Indian Institute of Information Technology, Srirangam"
#4,"VSB College of Engineering Technical Campus, Coimbatore"
#5,"Bharathiar School of Management and Entrepreneur Development - [BSMED], Coimbatore"
#6,"Stella Maris College, Chennai"
#7,"Exterior Interior (P Ltd), Chennai"
#8,"Dr. Sivanthi Aditanar College of engineering - [SACOE], Tiruchendur"
#9,"Indra Ganesan College of Engineering - [IGCENG], Tiruchirappalli"
B.Tech Agricultural Engineering,N/A
#10,"K Ramakrishnan College of Technology - [KRCT], Tiruchirappalli"
#1,"Latha Mathavan Engineering College - [LMEC], Madurai"
#2,"R.M.K. College of Engineering and Technology - [RMKCET], Thiruvallur"
#3,"Sri Muthukumaran Institute of Technology - [SMIT], Chennai"
#4,"T.J.S. Engineering College, Thiruvallur"
#5,"SRM TRP Engineering College, Tiruchirappalli"
#6,"Solamalai College of Engineering, Veerapanjan, Madurai"
#7,"V V College of Engineering, Tirunelveli"
#8,"SRM University Vadapalani Campus, Chennai"
#9,"Anna University, College of Engineering  - [UCEK], Kanchipuram"
#10,"Government College of Engineering, Bargur - [GCE], Krishnagiri"
#1,"Mahendra Institute of Technology - [MIT], Namakkal"
#2,"Nirmala College for Women, Coimbatore"
#3,"Pachaiyappa's College, Chennai"
#4,"Sri Shanmugha College of Engineering and Technology - [SSCET], Salem"
#5,"Government College of Engineering  - [GCES] Srirangam, Tiruchirappalli"
#6,"Amity Global Business School - [AGBS], Chennai"
#7,"Guruvayurappan Institute of Management - [GIM], Coimbatore"
#8,"Natesan Institute of Co-operative Management - [NICM], Chennai"
#9,"CMS College of Engineering - [CMSCE], Namakkal"
#10,"DMI Engineering College, Kanyakumari"
#1,"Infant Jesus College of Engineering - [IJCE], Thoothukudi"
#2,"Kalasalingam Institute of Technology - [KIT], Krishnankovil"
#3,"Mar Ephraem College of Engineering and Technology - [MECET], Kanyakumari"
#4,"Meenakshi College of Engineering, Chennai"
#5,"Nandha College of Technology - [NCT], Erode"
#6,"Narayanaguru College of Engineering - [NGCE], Kanyakumari"
#7,"New Prince Shri Bhavani College of Engineering & Technology - [NPSBCET], Chennai"
#8,"RVS College of Engineering and Technology, Coimbatore"
#9,"JEPPIAAR SRR Engineering college, Chennai"
#10,"Sakthi Mariamman Engineering College - [SMEC], Chennai"
#1,"Shanmuganathan Engineering College - [SEC], Palayamkottai"
#2,"Sri Ramanujar Engineering College - [SREC], Chennai"
#3,"Suguna College of Engineering - [SCE], Coimbatore"
#4,"Parisutham Institute of Technology and  Science - [PITS], Thanjavur"
#5,"Arignar Anna Institute of Science and Technology, Chennai"
#6,"University College of Engineering, Anna University - [UCEV], Viluppuram"
#7,"Pallavan College of Engineering - [PCE], Kanchipuram"
#8,"Salem College of Engineering and Technology - [SCET], Salem"
#9,"Eva Stalin Business School - [EBS], Chennai"
#10,"Cheran College of Engineering, Karur"
#1,"Christ the King Engineering College, Coimbatore"
#2,"GRT Institute of Engineering and Technology, Tirutani"
#3,"Hindusthan College of Engineering and Technology - [HICET], Coimbatore"
#4,"Loyola-ICAM College of Engineering and Technology - [LICET], Chennai"
#5,"Misrimal Navajee Munoth Jain Engineering College - [MNMJEC], Chennai"
#6,"Roever Engineering College-[REC], Perambalur"
#7,"Rohini College of Engineering and Technology - [RCET], Kanyakumari"
#8,"Sengunthar College of Engineering - [SCE], Namakkal"
#9,"Sree Sowdambika College of Engineering - [SSCE], Virudhunagar"
#10,"Vins Christian College of Engineering - [VCCE], Nagercoil"
#1,"Pandian Saraswathi Yadav Engineering College, Sivaganga"
#2,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College, Chennai"
#3,"Hindustan Institute of Engineering Technology - [HIET], Chennai"
#4,"Pavai College of Technology - [PCT], Namakkal"
#5,"Bharath Niketan Engineering College - [BNEC], Aundipatti"
#6,"SACS MAVMM Engineering College, Madurai"
#7,"Mangayarkarasi College of Engineering - [MCE], Madurai"
#8,"Loyola Institute of Technology and Science - [LITES], Kanyakumari"
#9,"ARM College of Engineering and Technology - [ARMCET], Kanchipuram"
#10,"Annai Mathammal Sheela Engineering College, Namakkal"
#1,"Arulmigu Meenakshi Amman College of Engineering - [AMACE], Kanchipuram"
#2,"Asan Memorial College of Engineering and Technology - [AMCET], Kanchipuram"
#3,"Bhajarang Engineering College, Thiruvallur"
#4,"Er Perumal Manimekalai College of Engineering, Hosur"
#5,"Excel College of Engineering and Technology, Namakkal"
#6,"Gnanamani College of Engineering - [GCE], Namakkal"
#7,"Government College of Engineering - [GCE], Dharmapuri"
#8,"Jayam College of Engineering and Technology - [JCET], Dharmapuri"
#9,"Jayaraj Annapackiam CSI College of Engineering - [JACSICE], Thoothukudi"
#10,"KS Rangasamy College of Technology, Namakkal"
#1,"Kingston Engineering College, Katpadi"
#2,"Krishnasamy College of Engineering and Technology - [KCET], Cuddalore"
#3,"Maria College of Engineering and Technology - [MCET], Kanyakumari"
#4,"Mount Zion College of Engineering and Technology, Pudukkottai"
#5,"RRASE College of Engineering, Chennai"
#6,"SCAD College of Engineering and Technology - [SCAD CET], Tirunelveli"
#7,"Sardar Raja College of Engineering - [SRCE], Tirunelveli"
#8,"Sri Lakshmi Ammal Engineering College - [SLAEC], Chennai"
#9,"Sudharsan Engineering College - [SEC], Pudukkottai"
#10,"The Kavery  College of Engineering - [KCE], Salem"
B.Tech Information Technology & Engineering,N/A
#1,"Thirumalai Engineering College - [TEC], Kanchipuram"
#2,"Vickram College of Engineering - [VCE], Sivaganga"
#3,"SCAD Engineering College, Tirunelveli"
#4,"Udaya School of Engineering - [USE], Kanyakumari"
#5,"Government College Of Engineering Sengipatti, Thanjavur"
#6,"Thamirabharani Engineering College,, Tirunelveli"
#7,"Renganayagi Varatharaj College of Engineering - [RVCE], Virudhunagar"
#8,"The Kavery Engineering College - [TKEC], Salem"
#9,"Government College of Engineering - [GCE], Bodinayakanur"
#10,"Indian School of Business Management and Administration - [ISBM], Chennai"
#1,"Versatile Business School, Chennai"
#2,"Angel College of Engineering and Technology - [ACET], Tiruppur"
#3,"Annai College of Engineering and Technology - [ACET], Kumbakonam"
#4,"Thiruvalluvar College of Engineering and Technology - [TCET], Vandavasi"
B.Tech  Petrochemical Technology,N/A
#5,"Alpha College of Engineering, Chennai"
#6,"Annai Mira College of Engineering and Technology, Vellore"
#7,"Annai Teresa College of Engineering, Viluppuram"
#8,"Bethlahem Institute of Engineering, Kanyakumari"
#9,"Bharathidasan Engineering College - [BEC], Vellore"
#10,"CK College of Engineering and Technology - [CKCET], Cuddalore"
#1,"Imayam College of Engineering - [ICE], Tiruchirappalli"
#2,"Jayamatha Engineering College - [JEC], Kanyakumari"
BE Instrumentation Engineering,N/A
#3,"King College of Technology - [KCT], Namakkal"
#4,"Magna College of Engineering, Chennai"
#5,"Mohamed Sathak AJ College of Engineering - [MSAJCE], Chennai"
#6,"NPR College of Engineering and Technology, Dindigul"
#7,"Sasurie Academy of Engineering, Coimbatore"
#8,"Shri Andal Alagar College of Engineering - [SAACE], Chengalpattu"
#9,"Pavendar Bharathidasan College of Engineering and Technology - [PABCET], Tiruchirappalli"
#10,"Jayalakshmi Institute of Technology, Dharmapuri"
#1,"University College of Engineering, Anna University - [UCEA], Arni"
#2,"Park College of Technology - [PCT], Coimbatore"
BE Environmental Engineering,N/A
BE Aerospace Engineering,N/A
#3,"Mahalakshmi Engineering College - [MEC], Tiruchirappalli"
#4,"P.T.R. College of Engineering and Technology, Madurai"
#5,"Maritime Foundation, Chennai"
#6,"Pollachi Institute of Engineering and Technology, Pollachi"
#7,"ARS College of Engineering - [ARSCE], Chengalpattu"
#8,"University College of Engineering, Anna University - [AUPKT], Pattukkottai"
#9,"Dr Pauls Engineering College, Villupuram"
#10,"Jayaram College of Engineering and Technology - [JCET], Thuraiyur"
#1,"Kurinji College of Engineering and Technology, Tiruchirappalli"
#2,"Oxford Engineering College, Tiruchirappalli"
#3,"Theni Kammavar Sangam College of Technology - [TKSCTE], Theni"
#4,"University College of Engineering, Anna University - [UCET], Tindivanam"
#5,"Galaxy Institute of Management, Chennai"
#6,"Sasi Creative School of Architecture - [SCSA], Coimbatore"
#7,"MARG Institute of Design and Architecture Swarnabhoomi - [MIDAS], Chennai"
#8,"Annai Vailankanni College of Engineering - [AVCE], Kanyakumari"
#9,"Chendhuran College of Engineering and Technology, Pudukkottai"
#10,"Chendu College of Engineering and Technology - [CHENDU], Maduranthakam"
#1,"Fatima Michael College of Engineering and Technology, Madurai"
#2,"Lord Jegannath College of Engineering and Technology - [LJCET], Kanyakumari"
#3,"M.I.E.T. Engineering College - [MIETEC], Tiruchirappalli"
#4,"Sree Sakthi Engineering College - [SSEC], Coimbatore"
#5,"Sri Nandhanam College of Engineering and Technology - [SNCET], Vellore"
#6,"Sri Subramanya College of Engineering and Technology, Palani"
#7,"Srinivasan Engineering College - [SEC], Perambalur"
#8,"St Mother Theresa Engineering College, Tuticorin"
#9,"Tagore Institute of Engineering and Technology - [TAGOREIET], Salem"
#10,"J.J. College of Engineering and Technology - [JJCET], Tiruchirappalli"
#1,"James College of Engineering and Technology, Nagercoil"
#2,"Nehru Institute of Technology - [NIT], Coimbatore"
#3,"Mahendra College of Engineering, Salem"
#4,"Arulmurugan College of Engineering - [ACE], Karur"
#5,"KSR Institute for Engineering and Technology - [KSRIET], Namakkal"
#6,"University college of Engineering, Chennai"
#7,"Vandayar Engineering College - [VEC], Thanjavur"
#8,"Unnamalai Institute of Technology, Kovilpatti"
#9,"Shree Sathyam College of Engineering and
Technology, Salem"
#10,"Sankara Institute of Management Science - [SIMS], Coimbatore"
#1,"All India Institute of Management Studies - [AIIMAS], Chennai"
#2,"Indian Institute of Food Processing Technology - [IIFPT], Thanjavur"
#3,"ACT College of Engineering and Technology, Kanchipuram"
#4,"Aksheyaa College of Engineering, Kanchipuram"
#5,"GGR College of Engineering, Vellore"
#6,"Ganadipathy Tulsi's Jain Engineering College - [GTEC], Vellore"
#7,"Immanuel Araser JJ College of Engineering - [IAJJCE], Kanyakumari"
#8,"KNSK College of Engineering, Nagercoil"
#9,"Maharaja Institute of Technology - [MIT], Coimbatore"
#10,"Nadar Saraswathi College of Engineering and Technology, Theni"
#1,"Narasu's Sarathy Institute of Technology - [NSIT], Salem"
#2,"Nehru Institute of Engineering and Technology - [NIET], Coimbatore"
#3,"SRG Engineering College, Namakkal"
#4,"Sri Krishna Engineering College - [SKEC], Chennai"
#5,"Amrita College of Engineering and Technology - [ACET], Nagercoil"
#6,"PGP College of Engineering and Technology - [PGPCET], Namakkal"
#7,"Maha Barathi Engineering College - [MBEC], Villupuram"
#8,"Prince Dr K Vasudevan College of Engineering and Technology - [PDKVCET], Chennai"
#9,"Annapoorana Engineering College - [AEC], Salem"
#10,"Jaya Suriya Engineering College, Chennai"
#1,"Vinayaka Mission Kirupananda Variyar Engineering College - [VMKVEC], Salem"
#2,"Kumaran Institute of Technology - [KIT], Thiruvallur"
#3,"Sivaji College of Engineering and Technology - [SCET], Kanyakumari"
#4,"Karur College of Engineering - [KCE], Karur"
#5,"Jaya College of Engineering and Technology - [JCET], Poonamallee"
#6,"Sri Jayaram Institute of Engineering and Technology - [SJIET], Thiruvallur"
#7,"University College of Engineering Panruti, Anna University - [UCEP], Cuddalore"
#8,"M.A.M School of Engineering, Tiruchirappalli"
B.Tech Biomedical Engineering,N/A
#9,"MNSK College of Engineering, Pattukkottai"
#10,"Mahendra Institute of Engineering and Technology, Namakkal"
#1,"Varuvan Vadivelan Institute of Technology - [VVIT], Dharmapuri"
#2,"Vetri Vinayaha College of Engineering and Technology, Thottiyam"
#3,"Institute of Cooperative Management - [ICM], Madurai"
#4,"Roever College of Engineering and Technology, Perambalur"
#5,"Adithya Institute of Technology - [AIT], Coimbatore"
#6,"Apollo Priyadarshanam Institute of Technology, Chennai"
#7,"Arunachala College of Engineering for Women - [ACEW], Nagercoil"
#8,"C Abdul Hakeem College of Engineering and Technology - [CAHCET], Vellore"
#9,"Dr Navalar Nedunchezhiyan College of Engineering, Cuddalore"
#10,"Kodaikanal Institute of Technology - [KIT], Dindigul"
#1,"Podhigai College of Engineering and Technology, Vellore"
#2,"Sri Balaji Chockalingam Engineering College, Tiruvannamalai"
#3,"TJ Institute of Technology - [TJIT], Chennai"
#4,"Tagore Engineering College - [TEC], Chennai"
#5,"St Anne's College of Engineering and Technology, Cuddalore"
#6,"RVS Technical Campus, Coimbatore"
#7,"SBM College of Engineering and Technology, Dindigul"
#8,"Jaya Sakthi Engineering College - [JSEC], Chennai"
BE Pharmaceutical Engineering,N/A
#9,"Dhanalakshmi Srinivasan Institute of Research and Technology, Perambalur"
