CD Rank,Colleges
#2,"Bhalchandra Group of Institutions, Lucknow"
#3,"Sadanlal Savaldas Khanna Girls Degree College, Allahabad"
#4,"Banaras Institute of Teacher's Education, Varanasi"
#5,"Baba Saheb Bhimrao Ambedkar Law College - [BSBRALC], Lucknow"
#6,"Avadh Girls' Degree College, Lucknow"
#7,"Indian Grassland and Fodder Research Institute-[IGFRI], Jhansi"
#8,"J.V.Jain College, Saharanpur"
#9,"Indian Institute of Pulses Research - [IIPR], Kanpur"
#10,"Baba Baijnath Degree College - [BBDC], Kanpur"
#1,"Central Institute of Medicinal and Aromatic Plants - [CIMAP], Lucknow"
#2,"Navyug Kanya Mahavidyalaya, Lucknow"
#3,"Harish Chandra Post Graduate College, Varanasi"
#4,"Bhonwal School of Education, Lucknow"
#5,"Bhagwanti Education Centre and Degree College, Kanpur"
#6,"Imperial School of Agri Business - [ISAB], Greater Noida"
#7,"Bhagwati College of Science, Meerut"
#8,"Kanchan Singh Bhooli Devi Mahavidyalaya, Kanpur Dehat"
#9,"Galgotias University - [GU], Greater Noida"
#10,"Dhirendra Mahila Mahavidyalaya, Varanasi"
#1,"Bennett University, Greater Noida"
#2,"Brahmavart Post Graduate College - [BVPGC], Kanpur"
#3,"Shiv Nadar University - [SNU], Greater Noida"
#4,"Dr Rammanohar Lohiya Mahavidyalaya, Kanpur"
#5,"Harcourt Butler Technological University - [HBTU], Kanpur"
B.Tech Electronics Engineering,N/A
#6,"Mahila Mahavidyalaya P.G. College, Kanpur"
#7,"Integral University, Lucknow"
#8,"Shri Jai Narain PG College, Lucknow"
#9,"GLA University, Mathura"
#10,"J.S. University - [JSU], Shikohabad"
#1,"Institute of Engineering and Technology - [IET], Lucknow"
B.Tech Chemical Engineering,N/A
#2,"Monad University, Hapur"
#3,"Indian Institute of Information Technology - [IIITL], Lucknow"
B.Tech Computer Science and Business Systems,N/A
#4,"Christ Church College -[CCC], Kanpur"
#5,"Jagran Institute of Management - [JIM], Kanpur"
#6,"IFTM University, Moradabad"
#7,"PSIT College of Higher Education [PSITCHE], Kanpur"
#8,"Glocal University, Saharanpur"
#9,"Manohar Lal Mahavidhyalaya, Kanpur"
#10,"Shia PG College, Lucknow"
#1,"Invertis University, Bareilly"
#2,"Noida Institute of Engineering and Technology - [NIET], Greater Noida"
B.Tech Data Science,N/A
B.Tech Cyber Security,N/A
B.Tech Computer Science (Hindi),N/A
#3,"ABES Engineering College, Ghaziabad"
B.Tech Data Science,N/A
B.Tech Computer Engineering,N/A
B.Tech Electrical and Computer Engineering,N/A
#4,"Bundelkhand Institute of Engineering & Technology - [BIET], Jhansi"
#5,"Rajiv Gandhi Institute of Petroleum Technology - [RGIPT], Amethi"
#6,"Noida International University - [NIU], Greater Noida"
#7,"Bundelkhand University, Institute of Engineering and Technology, Jhansi"
#8,"Galgotias College of Engineering and Technology - [GCET], Greater Noida"
B.Tech Data Science,N/A
#9,"Babu Banarasi Das University - [BBDU], Lucknow"
B.Tech Civil Engineering,N/A
#10,"GNIOT Group of Institutions - [GNIOT], Greater Noida"
B.Tech Internet of Things,N/A
B.Tech Artificial Intelligence and Data Science,N/A
#1,"KIET Group of Institutions - [KIET], Ghaziabad"
B.Tech Artificial Intelligence and Machine Learning,N/A
B.Tech Computer Science and Information Technology,N/A
#2,"Centre for Development of Advanced Computing - [CDAC], Noida"
#3,"Shree Bankey Bihari Dental College and Research Centre - [SBBDC], Ghaziabad"
#4,"Ajay Kumar Garg Engineering College - [AKGEC], Ghaziabad"
B.Tech Artificial Intelligence and Machine Learning,N/A
