CD Rank,Colleges
B.Tech Electrical and Electronics Engineering,N/A
B.Tech Mechanical Engineering,N/A
B.Tech Chemical Engineering,N/A
#8,"Bharati Vidyapeeth Institute of Management Studies & Research - [BVIMSR], Mumbai"
#9,"Grant Medical College and Sir J. J. Group of Hospitals, Mumbai"
#10,"Durgadevi Saraf Institute of Management Studies - [DSIMS], Mumbai"
#1,"Sinhgad Dental College and Hospital - [SDCH], Pune"
#2,"Thakur Institute of Management Studies and Research - [TIMSR], Mumbai"
#3,"Seth GS Medical College - [GSMC], Mumbai"
#4,"Central Institute of Fisheries Education - [CIFE], Mumbai"
#5,"Shobhaben Pratapbhai Patel School of Pharmacy & Technology Management - [SPPSPTM], Mumbai"
#6,"Bharati Vidyapeeth University, Institute of Hotel Management and Catering Technology - [IHMCT], Pune"
#7,"St Andrew's College of Arts Science and Commerce, Mumbai"
#8,"Modern College of Arts Science and Commerce - [MCASC] Shivajinagar, Pune"
#9,"Global Business School and Research Centre - [GBSRC], Pune"
#10,"Symbiosis Institute of Design - [SID], Pune"
#1,"GNVS Institute of Management - [GNVSIOM], Mumbai"
#2,"Mumbai University - [MU], Mumbai"
#3,"Government Dental College & Hospital, Aurangabad"
#4,"St. Mira's College for Girls, Pune"
#5,"Sydenham College of Commerce & Economics, Mumbai"
#6,"Bharati Vidyapeeth New Law College -[NLC], Pune"
#7,"Mahatma Gandhi Institute of Medical Sciences - [MGIMS], Wardha"
#8,"Bharati Vidyapeeth College of Hotel and Tourism Management Studies  - [BVCHTMS] Navi Mumbai, Navi Mumbai"
#9,"KPB Hinduja College of Commerce - [KPB], Mumbai"
#10,"Kelkar Education Trust's V.G. Vaze College of Arts Science and Commerce, Mumbai"
#1,"National Institute of Management - [NIM], Mumbai"
#2,"Central Institute of Business Management Research & Development - [CIBMRD], Nagpur"
#3,"Lokmanya Tilak Municipal Medical College-[LTMMC], Mumbai"
#4,"Rizvi College of Architecture, Mumbai"
#5,"Poona College of Pharmacy, Pune"
#6,"Sandip Institute of Technology and Research Center - [SITRC], Nashik"
BE Computer Engineering,N/A
BE (Information Technology),N/A
BE Artificial Intelligence and Data Science,N/A
BE Electronics & Telecom Engineering,N/A
BE Electrical Engineering,N/A
#7,"Guru Nanak Institute of Management Studies - [GNIMS], Mumbai"
#8,"Byramjee Jeejeebhoy Government Medical College - [BJMC], Pune"
#9,"M.E.S. Abasaheb Garware College, Pune"
#10,"College of Engineering  - [COEP], Pune"
B.Tech Computer Science and Information Technology,N/A
B.Tech Electronics & Telecommunication Engineering,N/A
B.Tech Electrical Engineering,N/A
B.Tech Instrumentation & Control Engineering,N/A
#1,"K.J. Somaiya Medical College & Research Centre - [KJSMC], Mumbai"
#2,"Dr DY Patil Medical College Hospital and Research Centre - [DYPMC], Pune"
#3,"Sheila Raheja School of Business Management & Research - [SRBS], Mumbai"
#4,"Government Medical College and Hospital, Aurangabad"
#5,"Vilasrao Deshmukh Government Medical College, Latur"
#6,"MGM Medical College, Navi Mumbai"
#7,"Bharati Vidyapeeth Deemed University, Medical College School of Optometry, Pune"
#8,"Defence Institute of Advanced Technology - [DIAT], Pune"
M.Tech VLSI Design & Embedded System,N/A
M.Tech Robotics Engineering,N/A
M.Tech Data Science,N/A
M.Tech Quantum Computing,N/A
M.Tech Nano Science and Technology,N/A
#9,"Brihan Maharashtra College of Commerce - [BMCC], Pune"
#10,"D Y Patil Medical College, Kolhapur"
#1,"Government Law College - [GLC], Mumbai"
B.L.S  + L.L.B,N/A
#2,"Symbiosis College of Arts and Commerce, Pune"
#3,"Mulund College of Commerce, Mumbai"
#4,"Sau. Leena Kishor Mamidwar Institute of Management Studies and Research, Chandrapur"
#5,"Dr. V.N. Bedekar Institute of Management Studies - [DRVNBIMS], Thane"
#6,"Wilson College, Mumbai"
#7,"MGM Institute of Management & Research - [MGM IOM & R], Aurangabad"
#8,"Bombay College of Pharmacy - [BCP], Mumbai"
#9,"D.E.S's Shri. Navalmal Firodia Law College - [DES SNFLC], Pune"
BBALLB,N/A
#10,"Sinhgad Business School - [SBS] Erandwane, Pune"
#1,"Bharati Vidyapeeth Dental College and Hospital - [BVDCH], Pune"
#2,"Regenesys Business School, Navi Mumbai"
#3,"G.S. College of Commerce and Economics, Nagpur"
#4,"Elphinstone College, Mumbai"
#5,"Dr. D.Y. Patil Vidya Pratishthan Society's, Pune"
#6,"Institute of Management Education Research and Training - [IMERT], Pune"
#7,"GS College of Commerce, Wardha"
#8,"Dr. Panjabrao Deshmukh Institute of Management Technology and Research - [PDIMTR], Nagpur"
#9,"Jayawant Institute of Management Studies - [JIMS] Tathawade, Pune"
#10,"Sinhgad Institute of Management - [SIOM], Pune"
#1,"AISSMS Institute of Management - [AISSMS IOM], Pune"
#2,"Manikchand Pahade Law College, Aurangabad"
B.A.L.L.B.,N/A
#3,"Sinhgad Law College, Pune"
#4,"Sir JJ College of Architecture - [SJJCA], Mumbai"
#5,"Dr DY  Patil College of Agriculture Business Management, Pune"
#6,"AISSMS College of Hotel Management & Catering Technology - [AISSMS CHMCT], Pune"
BHMCT,N/A
#7,"Y. B. Chavan College of Pharmacy, Aurangabad"
#8,"Bharati Vidyapeeth Dental College and Hospital, Navi Mumbai"
#9,"Rashtrasant Tukadoji Maharaj Nagpur University - [RTMNU], Nagpur"
#10,"Priyadarshini Institute of Architecture and Design Studies- [PIADS], Nagpur"
#1,"College of Computer Sciences, Pune"
#2,"The New College, Kolhapur"
#3,"ASM's College of Commerce, Science & Information Technology - [CSIT], Pune"
#4,"Symbiosis School of Sports Sciences - [SSSS], Pune"
MBA Sports Management,N/A
#5,"Dr. BMN College of Home Science, Mumbai"
#6,"MIT School of Management - [MIT-SOM], Pune"
#7,"Christ College, Pune"
#8,"Panchavati College of Management & Computer Science - [PCMCS], Nashik"
#9,"Maharashtra National Law University - [MNLU], Nagpur"
#10,"Army Institute of Technology - [AIT], Pune"
BE Mechanical Engineering,N/A
#1,"Dr. Bhanuben Nanavati College of Pharmacy, Mumbai"
#2,"Smt Kishoritai Bhoyar College of Pharmacy, Nagpur"
#3,"Bharati Vidyapeeth Deemed University Pune, Pune"
BAMS,N/A
#4,"Dhule Charitable Society's Institute of Pharmacy, Dhule"
#5,"Rizvi Institute of Management Studies and Research - [RIMSR], Mumbai"
#6,"Abeda Inamdar Senior College, Pune"
#7,"SIES College of Arts Science and Commerce - [SIES ASCS], Mumbai"
#8,"ASM's Institute of Business Management & Research - [IBMR], Pune"
#9,"Symbiosis Law School - [SLS], Nagpur"
#10,"Smt Hiraben Nanavati Institute of Management & Research for Women - [HNIMR], Pune"
#1,"Appasaheb Birnale College of Pharmacy, Sangli"
#2,"MIT College of Management - [MITCOM] Kothrud, Pune"
#3,"Yashwantrao Chavan Maharashtra Open University- [YCMOU], Nashik"
#4,"Anand Niketan College of Agriculture, Chandrapur"
#5,"Veermata Jijabai Technological Institute - [VJTI], Mumbai"
#6,"Ramniranjan Jhunjhunwala College - [R.J.C], Mumbai"
